,Average accuracy,Average precision,Average recall,Average f1,Average AUC
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature']; No SMOTE, Xfold val",0.520813143,0.456028078,0.475860175,0.442471664,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature']; Used SMOTE, Xfold val",0.48415081,0.490431977,0.459611922,0.458370955,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature']; StandardScaler, Used SMOTE, Xfold val",0.484930859,0.494306566,0.462886495,0.460955114,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature']; MinMaxScaler, PCA, Used SMOTE, Xfold val",0.481881574,0.491466152,0.459763943,0.457039475,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'time_signature']; RobustScaler, PCA, Used SMOTE, Xfold val",0.48403262,0.493032698,0.462287612,0.46002121,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'bin_duration_ms_(114345, 291835]', 'bin_duration_ms_(291835, 913053]', 'tempo', 'time_signature']; StandardScaler, PCA, Used SMOTE, Xfold val",0.4802269235314974,0.4887077671649876,0.467660606034439,0.4585513283185318,0.900387167560891
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'bin_duration_ms_(114345, 291835]', 'bin_duration_ms_(291835, 913053]', 'tempo', 'time_signature']; KNeighbors, StandardScaler, PCA, Used SMOTE, Xfold val",0.5231060158373715,0.5269088172515604,0.5015909720195333,0.5042137592903462,0.8146189168251246
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'bin_duration_ms_(114345, 291835]', 'bin_duration_ms_(291835, 913053]', 'tempo', 'time_signature']; SVC, StandardScaler, PCA, Used SMOTE, Xfold val",0.5839971634558563,0.5959110221883238,0.5685256118882999,0.5655813620636929,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'bin_duration_ms_(114345, 291835]', 'bin_duration_ms_(291835, 913053]', 'tempo', 'time_signature']; Ridge, StandardScaler, PCA, Used SMOTE, Xfold val",0.4161210258834654,0.4284771672860703,0.4130811897778125,0.386096304052227,
"Features: ['danceability', 'energy', 'loudness', 'mode', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'bin_duration_ms_(114345, 291835]', 'bin_duration_ms_(291835, 913053]', 'tempo', 'time_signature']; RandomForest(n=100), StandardScaler, PCA, Used SMOTE, Xfold val",0.6230469211677107,0.6165972349821708,0.5979048430330851,0.6047927524100654,0.9189300682668522
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; RandomForest(n=100), StandardScaler, PCA, Used SMOTE, Xfold val",0.6489540243470039,0.6438176205116931,0.6265974784227788,0.633163717392665,0.9316864932793504
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; Bagged KNeighbors, StandardScaler, PCA, Used SMOTE, Xfold val",0.5561281172438245,0.5629368993670895,0.5328681315784657,0.537783100949196,0.861436245260762
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; Bagged SVC, StandardScaler, PCA, Used SMOTE, Xfold val",0.6300673679234132,0.6418823553705723,0.6130501868358215,0.6135890516169049,0.8389549435950647
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; [Took ~1hr] Bagged SVC, StandardScaler, PCA, Used SMOTE, Xfold val",0.6300673679234132,0.6418823553705723,0.6130501868358215,0.6135890516169049,0.8389549435950647
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; ADABoost, StandardScaler, PCA, Used SMOTE, Xfold val",0.3416144663751329,0.335769739306416,0.2995486381574179,0.2866951846200823,0.7923700372425857
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; [Takes 40 mins] GradientBoost, StandardScaler, PCA, Used SMOTE, Xfold val",0.6565417799314501,0.6643092440833834,0.6313609640573306,0.6370787797915745,0.952393758539546
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; [Takes 7 mins] XGBoost, StandardScaler, PCA, Used SMOTE, Xfold val",0.648812197139818,0.6567574567064094,0.6241819281143477,0.6277400369503573,0.9521726154773016
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'liveness', 'valence', 'tempo', 'duration_ms']; [Takes 10 mins] Ensemble(RandomForest, XGB, KNN), StandardScaler, PCA, Used SMOTE, Xfold val",0.6485521805933104,0.6501969351016481,0.6224927666579301,0.6292171608157504,0.9460677571076124
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'valence', 'tempo', 'duration_ms']; [Takes 10 mins] Ensemble(RandomForest, XGB, KNN), StandardScaler, PCA, Used SMOTE, Xfold val",0.6492849544971044,0.6526017183555028,0.6237375628341679,0.6310944155728924,0.9462232461178632
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'tempo', 'duration_ms']; [Takes 10 mins] Ensemble(RandomForest, XGB, KNN), StandardScaler, PCA, Used SMOTE, Xfold val",0.635385888192885,0.6369637020383505,0.6092947702770641,0.6158059080659491,0.943062033035312
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'valence', 'tempo', 'duration_ms']; ExtraTrees(n=100), StandardScaler, PCA, Used SMOTE, Xfold val",0.6455265335066777,0.6356036564888238,0.6192790057230164,0.6260498974300835,0.8912339021749822
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'valence', 'tempo', 'duration_ms']; ExtraTrees(n=100), StandardScaler, PCA, No SMOTE, Xfold val",0.6568490722136864,0.6202543437889042,0.6394670746509961,0.6239100356659217,0.8903335675214266
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'valence', 'tempo', 'duration_ms']; DecisionTree, StandardScaler, PCA, Used SMOTE, Xfold val",0.5645195603356576,0.5562778202358022,0.5464185996224071,0.5489743409991412,0.7654863823778773
"Features: ['danceability', 'energy', 'loudness', 'speechiness', 'acousticness', 'instrumentalness', 'valence', 'tempo', 'duration_ms']; Ensemble(RandomForest, XGB, KNN, ExT), StandardScaler, PCA, Used SMOTE, Xfold val",0.6479139581609739,0.649292623346733,0.6231259881521514,0.631644334257255,0.9441056970507342
